time,open,high,low,close,tick_volume,spread,real_volume
2026-03-08 22:00:00,1.15464,1.15519,1.15297,1.153,2546,8,0
2026-03-08 22:15:00,1.15303,1.1549800000000001,1.1525400000000001,1.15418,2109,8,0
2026-03-08 22:30:00,1.15418,1.15449,1.15309,1.15317,1598,8,0
2026-03-08 22:45:00,1.15318,1.15418,1.15311,1.15354,1944,8,0
2026-03-08 23:00:00,1.15354,1.15397,1.15293,1.15329,1557,8,0
2026-03-08 23:15:00,1.15328,1.15366,1.15266,1.15308,1369,8,0
2026-03-08 23:30:00,1.15308,1.15364,1.15246,1.15276,1772,8,0
2026-03-08 23:45:00,1.15276,1.15288,1.1521,1.1524,1848,8,0
2026-03-09 00:00:00,1.1524,1.15278,1.15204,1.15224,1782,8,0
2026-03-09 00:15:00,1.15224,1.15236,1.15176,1.1520299999999999,1524,8,0
2026-03-09 00:30:00,1.15204,1.15312,1.15199,1.15245,1460,8,0
2026-03-09 00:45:00,1.15245,1.15246,1.15158,1.1516899999999999,1579,8,0
2026-03-09 01:00:00,1.1516899999999999,1.15186,1.151,1.15143,2650,8,0
2026-03-09 01:15:00,1.15143,1.15161,1.15084,1.1514,1380,8,0
2026-03-09 01:30:00,1.1514,1.15236,1.15124,1.15171,1721,8,0
2026-03-09 01:45:00,1.1517,1.15195,1.15068,1.15089,1829,8,0
2026-03-09 02:00:00,1.15089,1.15208,1.15089,1.15144,2011,8,0
2026-03-09 02:15:00,1.15144,1.15189,1.1508,1.15167,2061,8,0
2026-03-09 02:30:00,1.15167,1.15279,1.1514,1.15258,1753,8,0
2026-03-09 02:45:00,1.15258,1.15273,1.15215,1.15246,1589,8,0
2026-03-09 03:00:00,1.15246,1.15286,1.1519300000000001,1.1522000000000001,1376,8,0
2026-03-09 03:15:00,1.1522000000000001,1.1526,1.15197,1.15197,1160,8,0
2026-03-09 03:30:00,1.15197,1.15217,1.15124,1.15136,1197,8,0
2026-03-09 03:45:00,1.15136,1.15179,1.15126,1.15163,1200,8,0
2026-03-09 04:00:00,1.15163,1.15252,1.15155,1.15224,1200,8,0
2026-03-09 04:15:00,1.15224,1.15248,1.15199,1.15221,850,8,0
2026-03-09 04:30:00,1.15222,1.1529099999999999,1.15209,1.15283,842,8,0
2026-03-09 04:45:00,1.15283,1.15293,1.15242,1.15255,660,8,0
2026-03-09 05:00:00,1.15257,1.15357,1.15235,1.15335,1428,8,0
2026-03-09 05:15:00,1.15335,1.15601,1.1529,1.15556,3354,8,0
2026-03-09 05:30:00,1.15556,1.15628,1.1544699999999999,1.15518,2541,8,0
2026-03-09 05:45:00,1.15518,1.15711,1.1550799999999999,1.15672,2897,8,0
2026-03-09 06:00:00,1.15672,1.15688,1.15553,1.15571,2458,8,0
2026-03-09 06:15:00,1.15571,1.1561,1.15512,1.15534,2029,8,0
2026-03-09 06:30:00,1.15534,1.15649,1.15534,1.15594,1918,8,0
2026-03-09 06:45:00,1.15594,1.15599,1.15443,1.15445,2040,8,0
2026-03-09 07:00:00,1.15445,1.15555,1.1535,1.1547,3333,8,0
2026-03-09 07:15:00,1.15471,1.15514,1.1540300000000001,1.1551,2215,8,0
2026-03-09 07:30:00,1.1551,1.1562000000000001,1.15483,1.1556899999999999,2487,8,0
2026-03-09 07:45:00,1.1556899999999999,1.15648,1.15545,1.15632,1912,8,0
2026-03-09 08:00:00,1.15632,1.15649,1.15486,1.1549800000000001,3472,8,0
2026-03-09 08:15:00,1.1549800000000001,1.15499,1.15213,1.15221,2927,8,0
2026-03-09 08:30:00,1.15219,1.15273,1.15149,1.15265,2840,8,0
2026-03-09 08:45:00,1.15265,1.15353,1.15195,1.15343,2912,8,0
2026-03-09 09:00:00,1.15343,1.15441,1.15306,1.15427,2668,8,0
2026-03-09 09:15:00,1.15422,1.15551,1.15399,1.15492,2421,8,0
2026-03-09 09:30:00,1.15494,1.15729,1.15457,1.15552,4158,8,0
2026-03-09 09:45:00,1.15552,1.15655,1.15529,1.15537,3319,8,0
2026-03-09 10:00:00,1.15537,1.15615,1.15466,1.15489,2788,8,0
2026-03-09 10:15:00,1.15489,1.15594,1.15464,1.15585,2079,8,0
2026-03-09 10:30:00,1.15584,1.15632,1.15517,1.15627,2421,8,0
2026-03-09 10:45:00,1.15627,1.15646,1.1551,1.156,2734,8,0
2026-03-09 11:00:00,1.156,1.15675,1.15583,1.15669,2198,8,0
2026-03-09 11:15:00,1.15669,1.15675,1.15572,1.1559,1933,8,0
2026-03-09 11:30:00,1.1559,1.15653,1.15552,1.1555900000000001,1859,8,0
2026-03-09 11:45:00,1.1555900000000001,1.15645,1.15548,1.15609,2007,8,0
2026-03-09 12:00:00,1.15611,1.1568100000000001,1.15584,1.15623,1964,8,0
2026-03-09 12:15:00,1.15623,1.15652,1.15585,1.15618,1873,8,0
2026-03-09 12:30:00,1.15618,1.15644,1.15579,1.15601,1772,8,0
2026-03-09 12:45:00,1.15601,1.15624,1.15497,1.15529,2020,8,0
2026-03-09 13:00:00,1.1553,1.15695,1.1552,1.15678,2565,8,0
2026-03-09 13:15:00,1.15677,1.15781,1.1565,1.15775,2503,8,0
2026-03-09 13:30:00,1.15775,1.15875,1.15734,1.15781,2801,8,0
2026-03-09 13:45:00,1.15783,1.15823,1.15698,1.15756,3644,8,0
2026-03-09 14:00:00,1.15755,1.15777,1.15471,1.1559300000000001,4922,8,0
2026-03-09 14:15:00,1.1559300000000001,1.15682,1.15564,1.1564,4552,8,0
2026-03-09 14:30:00,1.15639,1.15717,1.15599,1.15712,3122,8,0
2026-03-09 14:45:00,1.15712,1.15764,1.15694,1.15726,3085,8,0
2026-03-09 15:00:00,1.15726,1.15854,1.15721,1.1585,2925,8,0
2026-03-09 15:15:00,1.1585,1.15884,1.15771,1.15861,2540,8,0
2026-03-09 15:30:00,1.15861,1.15892,1.15808,1.15863,2353,8,0
2026-03-09 15:45:00,1.15863,1.15934,1.1584699999999999,1.15912,2158,8,0
2026-03-09 16:00:00,1.15912,1.15988,1.15902,1.15902,1744,8,0
2026-03-09 16:15:00,1.15903,1.15938,1.15849,1.15905,2053,8,0
2026-03-09 16:30:00,1.15905,1.15985,1.15903,1.15965,1629,8,0
2026-03-09 16:45:00,1.15965,1.1599,1.15859,1.15873,1335,8,0
2026-03-09 17:00:00,1.15873,1.15892,1.15831,1.15853,1321,8,0
2026-03-09 17:15:00,1.15853,1.15854,1.15805,1.15833,1245,8,0
2026-03-09 17:30:00,1.15833,1.15845,1.15808,1.15833,1066,8,0
2026-03-09 17:45:00,1.15833,1.15868,1.15781,1.15784,935,8,0
2026-03-09 18:00:00,1.15784,1.15839,1.15775,1.15819,1280,8,0
2026-03-09 18:15:00,1.15819,1.1583,1.15778,1.15808,994,8,0
2026-03-09 18:30:00,1.15808,1.15828,1.15769,1.15771,669,8,0
2026-03-09 18:45:00,1.1577,1.15806,1.15754,1.15761,769,8,0
2026-03-09 19:00:00,1.15761,1.15838,1.1575,1.1582,645,8,0
2026-03-09 19:15:00,1.1582,1.16202,1.15817,1.16175,4188,8,0
2026-03-09 19:30:00,1.16176,1.1623999999999999,1.16072,1.16234,4067,8,0
